date,country,country_name,area,region,values.Retail & recreation,values.Grocery & pharmacy,values.Parks,values.Transit stations,values.Workplace,values.Residential
2020-03-29,US,United States,Michigan,Mackinac County,-71%,-39%,n/a,n/a,-52%,n/a
2020-03-29,US,United States,Michigan,Macomb County,-59%,-30%,+106%,-33%,-48%,+13%
2020-03-29,US,United States,Michigan,Manistee County,-71%,-17%,n/a,n/a,-40%,n/a
2020-03-29,US,United States,Michigan,Marquette County,-61%,-39%,-40%,n/a,-37%,+21%
2020-03-29,US,United States,Michigan,Mason County,-48%,-24%,n/a,n/a,-43%,+7%
2020-03-29,US,United States,Michigan,Mecosta County,-46%,-18%,n/a,n/a,-37%,+20%
2020-03-29,US,United States,Michigan,Menominee County,-47%,-35%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Michigan,Midland County,-55%,-27%,-15%,n/a,-40%,+27%
2020-03-29,US,United States,Michigan,Missaukee County,-44%,n/a,n/a,n/a,-39%,n/a
2020-03-29,US,United States,Michigan,Monroe County,-54%,-30%,+52%,-21%,-34%,+11%
2020-03-29,US,United States,Michigan,Montcalm County,-46%,-17%,n/a,n/a,-29%,+22%
2020-03-29,US,United States,Michigan,Montmorency County,-54%,-14%,n/a,n/a,-40%,n/a
2020-03-29,US,United States,Michigan,Muskegon County,-52%,-22%,+15%,n/a,-40%,+11%
2020-03-29,US,United States,Michigan,Newaygo County,-49%,-13%,+40%,n/a,-34%,+23%
2020-03-29,US,United States,Michigan,Oakland County,-65%,-35%,+31%,-50%,-50%,+14%
2020-03-29,US,United States,Michigan,Oceana County,-69%,-5%,-26%,n/a,-35%,-1%
2020-03-29,US,United States,Michigan,Ogemaw County,-47%,-14%,n/a,n/a,-45%,n/a
2020-03-29,US,United States,Michigan,Ontonagon County,-46%,n/a,n/a,n/a,n/a,n/a
2020-03-29,US,United States,Michigan,Osceola County,-66%,-5%,n/a,n/a,-42%,n/a
2020-03-29,US,United States,Michigan,Oscoda County,-74%,-12%,n/a,n/a,-43%,n/a
2020-03-29,US,United States,Michigan,Otsego County,-58%,-36%,n/a,n/a,-41%,-1%
2020-03-29,US,United States,Michigan,Ottawa County,-57%,-32%,+33%,-20%,-48%,+13%
2020-03-29,US,United States,Michigan,Presque Isle County,-63%,-19%,n/a,n/a,-38%,n/a
2020-03-29,US,United States,Michigan,Roscommon County,-45%,-9%,-38%,n/a,-43%,n/a
2020-03-29,US,United States,Michigan,Saginaw County,-60%,-24%,-10%,-61%,-43%,+12%
2020-03-29,US,United States,Michigan,Sanilac County,-38%,-8%,n/a,n/a,-39%,+12%
2020-03-29,US,United States,Michigan,Schoolcraft County,-80%,-37%,-51%,n/a,-44%,n/a
2020-03-29,US,United States,Michigan,Shiawassee County,-51%,-25%,n/a,n/a,-34%,+24%
2020-03-29,US,United States,Michigan,St. Clair County,-50%,-30%,+38%,-32%,-37%,+11%
2020-03-29,US,United States,Michigan,St. Joseph County,-44%,-31%,n/a,n/a,-39%,+23%
2020-03-29,US,United States,Michigan,Tuscola County,-47%,-19%,n/a,n/a,-37%,+23%
2020-03-29,US,United States,Michigan,Van Buren County,-43%,-24%,-9%,n/a,-30%,+23%
2020-03-29,US,United States,Michigan,Washtenaw County,-65%,-48%,+53%,-49%,-53%,+15%
2020-03-29,US,United States,Michigan,Wayne County,-57%,-25%,+24%,-61%,-45%,+13%
2020-03-29,US,United States,Michigan,Wexford County,-52%,-21%,n/a,n/a,-37%,+12%
2020-03-29,PT,Portugal,n/a,Aveiro District,-83%,-61%,-84%,-83%,-53%,+24%
2020-03-29,PT,Portugal,n/a,Azores,-83%,-56%,-66%,-87%,-47%,+18%
2020-03-29,PT,Portugal,n/a,Beja District,-83%,-59%,-60%,n/a,-40%,+24%
2020-03-29,PT,Portugal,n/a,Braga,-83%,-60%,-82%,-76%,-52%,+24%
2020-03-29,PT,Portugal,n/a,Bragança District,-85%,-66%,-57%,-78%,-52%,+18%
2020-03-29,PT,Portugal,n/a,Castelo Branco District,-81%,-61%,-65%,-76%,-48%,+31%
2020-03-29,PT,Portugal,n/a,Coimbra District,-83%,-61%,-80%,-77%,-48%,+23%
2020-03-29,PT,Portugal,n/a,Faro District,-83%,-60%,-78%,-82%,-54%,+21%
2020-03-29,PT,Portugal,n/a,Guarda District,-86%,-64%,-75%,-68%,-46%,+28%
2020-03-29,PT,Portugal,n/a,Leiria District,-85%,-62%,-85%,-81%,-50%,+23%
2020-03-29,PT,Portugal,n/a,Lisbon,-84%,-58%,-82%,-79%,-56%,+22%
2020-03-29,PT,Portugal,n/a,Madeira,-89%,-63%,-86%,-77%,-60%,+27%
2020-03-29,PT,Portugal,n/a,Portalegre District,-85%,-63%,-70%,n/a,-42%,+24%
2020-03-29,PT,Portugal,n/a,Porto District,-84%,-59%,-82%,-79%,-54%,+23%
2020-03-29,PT,Portugal,n/a,Santarém District,-83%,-59%,-77%,-81%,-46%,+20%
2020-03-29,PT,Portugal,n/a,Setubal,-82%,-56%,-78%,-74%,-54%,+20%
2020-03-29,PT,Portugal,n/a,Viana do Castelo District,-85%,-68%,-76%,-76%,-51%,+26%
2020-03-29,PT,Portugal,n/a,Vila Real District,-86%,-64%,-71%,-72%,-52%,+33%
2020-03-29,PT,Portugal,n/a,Viseu District,-82%,-60%,-65%,-61%,-48%,+22%
2020-03-29,PT,Portugal,n/a,Évora District,-83%,-59%,-78%,-77%,-48%,+29%
2020-03-29,US,United States,New York,Albany County,-59%,-30%,-15%,-64%,-36%,+13%
2020-03-29,US,United States,New York,Allegany County,-40%,-15%,n/a,n/a,-33%,+18%
2020-03-29,US,United States,New York,Bronx County,-64%,-30%,-51%,-55%,-50%,+16%
2020-03-29,US,United States,New York,Broome County,-51%,-27%,+5%,-43%,-34%,+11%
2020-03-29,US,United States,New York,Cattaraugus County,-40%,-15%,-37%,n/a,-32%,+18%
2020-03-29,US,United States,New York,Cayuga County,-39%,-15%,n/a,-49%,-29%,+20%
2020-03-29,US,United States,New York,Chautauqua County,-33%,-8%,-22%,n/a,-26%,+8%
2020-03-29,US,United States,New York,Chemung County,-48%,-14%,n/a,-58%,-29%,+14%
2020-03-29,US,United States,New York,Chenango County,-38%,-12%,n/a,n/a,-23%,+20%
2020-03-29,US,United States,New York,Clinton County,-52%,-18%,n/a,-67%,-29%,+18%
2020-03-29,US,United States,New York,Columbia County,-51%,-40%,n/a,-36%,-35%,+19%
2020-03-29,US,United States,New York,Cortland County,-42%,-9%,n/a,n/a,-31%,+22%
2020-03-29,US,United States,New York,Delaware County,-48%,-23%,n/a,n/a,-29%,+10%
2020-03-29,US,United States,New York,Dutchess County,-54%,-28%,-34%,-72%,-38%,+14%
2020-03-29,US,United States,New York,Erie County,-52%,-23%,+64%,-49%,-37%,+10%
2020-03-29,US,United States,New York,Essex County,-68%,-35%,-70%,n/a,-48%,+3%
2020-03-29,US,United States,New York,Franklin County,-44%,-18%,n/a,n/a,-34%,+17%
2020-03-29,US,United States,New York,Fulton County,-38%,-25%,n/a,n/a,-23%,+15%
2020-03-29,US,United States,New York,Genesee County,-25%,-22%,n/a,-56%,-27%,+20%
2020-03-29,US,United States,New York,Greene County,-46%,-30%,-48%,n/a,-36%,+17%
2020-03-29,US,United States,New York,Herkimer County,-45%,-19%,n/a,-70%,-34%,+18%
2020-03-29,US,United States,New York,Jefferson County,-48%,-24%,n/a,n/a,-27%,+9%
2020-03-29,US,United States,New York,Kings County,-68%,-33%,-55%,-63%,-51%,+18%
2020-03-29,US,United States,New York,Lewis County,-49%,-17%,n/a,n/a,-29%,n/a
2020-03-29,US,United States,New York,Livingston County,-36%,-7%,n/a,-37%,-30%,+21%
2020-03-29,US,United States,New York,Madison County,-40%,-18%,n/a,-62%,-36%,+22%
2020-03-29,US,United States,New York,Monroe County,-48%,-27%,+115%,-41%,-36%,+11%
2020-03-29,US,United States,New York,Montgomery County,-40%,-20%,n/a,+2%,-23%,+17%
2020-03-29,US,United States,New York,Nassau County,-66%,-34%,-60%,-69%,-47%,+19%
2020-03-29,US,United States,New York,New York County,-86%,-51%,-79%,-78%,-57%,+19%
2020-03-29,US,United States,New York,Niagara County,-40%,-15%,+14%,-59%,-33%,+10%
2020-03-29,US,United States,New York,Oneida County,-45%,-25%,-6%,-50%,-33%,+10%
2020-03-29,US,United States,New York,Onondaga County,-53%,-29%,+38%,-55%,-36%,+11%
2020-03-29,US,United States,New York,Ontario County,-55%,-21%,-26%,-62%,-35%,+9%
2020-03-29,US,United States,New York,Orange County,-58%,-38%,-24%,-61%,-40%,+15%
2020-03-29,US,United States,New York,Orleans County,-22%,-7%,n/a,n/a,-27%,+19%
2020-03-29,US,United States,New York,Oswego County,-39%,-14%,+15%,n/a,-26%,+10%
2020-03-29,US,United States,New York,Otsego County,-49%,-29%,n/a,n/a,-36%,+19%
2020-03-29,US,United States,New York,Putnam County,-54%,-31%,-36%,-69%,-40%,+28%
2020-03-29,US,United States,New York,Queens County,-69%,-37%,-52%,-75%,-58%,+20%
2020-03-29,US,United States,New York,Rensselaer County,-50%,-23%,-25%,-54%,-36%,+12%
2020-03-29,US,United States,New York,Richmond County,-59%,-31%,-48%,-60%,-42%,+17%
2020-03-29,US,United States,New York,Rockland County,-67%,-35%,-49%,-68%,-47%,+20%
2020-03-29,US,United States,New York,Saratoga County,-60%,-29%,-48%,-52%,-35%,+13%
2020-03-29,US,United States,New York,Schenectady County,-46%,-24%,-20%,-48%,-31%,+12%
2020-03-29,US,United States,New York,Schoharie County,-38%,-22%,n/a,n/a,-19%,+3%
2020-03-29,US,United States,New York,Schuyler County,-35%,-4%,n/a,n/a,-29%,n/a
2020-03-29,US,United States,New York,Seneca County,-42%,+31%,n/a,-67%,-34%,+15%
2020-03-29,US,United States,New York,St. Lawrence County,-45%,-22%,-47%,n/a,-30%,+11%
2020-03-29,US,United States,New York,Steuben County,-39%,-23%,-12%,-22%,-29%,+10%
2020-03-29,US,United States,New York,Suffolk County,-58%,-31%,-42%,-70%,-41%,+16%
2020-03-29,US,United States,New York,Sullivan County,-40%,-8%,n/a,n/a,-34%,+18%
2020-03-29,US,United States,New York,Tioga County,-63%,-15%,n/a,n/a,-35%,+19%
2020-03-29,US,United States,New York,Tompkins County,-59%,-34%,+28%,-50%,-48%,+28%
2020-03-29,US,United States,New York,Ulster County,-53%,-30%,-41%,-69%,-35%,+14%
2020-03-29,US,United States,New York,Warren County,-56%,-21%,-46%,-43%,-36%,+18%
2020-03-29,US,United States,New York,Washington County,-48%,-19%,n/a,n/a,-24%,+17%
2020-03-29,US,United States,New York,Wayne County,-31%,-8%,n/a,n/a,-30%,+13%
2020-03-29,US,United States,New York,Westchester County,-64%,-37%,-47%,-66%,-47%,+18%
2020-03-29,US,United States,New York,Wyoming County,-26%,-4%,n/a,n/a,-21%,+19%
2020-03-29,US,United States,New York,Yates County,-34%,-13%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,North Dakota,Barnes County,-22%,n/a,n/a,n/a,-25%,n/a
2020-03-29,US,United States,North Dakota,Bottineau County,-39%,n/a,n/a,n/a,-35%,n/a
2020-03-29,US,United States,North Dakota,Burleigh County,-44%,-14%,+26%,-56%,-25%,+11%
2020-03-29,US,United States,North Dakota,Cass County,-54%,-26%,+69%,-34%,-30%,+12%
2020-03-29,US,United States,North Dakota,Dunn County,-56%,-18%,-26%,n/a,n/a,n/a
2020-03-29,US,United States,North Dakota,Grand Forks County,-46%,-20%,-48%,-38%,-28%,+20%
2020-03-29,US,United States,North Dakota,McKenzie County,-40%,-15%,n/a,-25%,-14%,n/a
2020-03-29,US,United States,North Dakota,McLean County,-63%,n/a,n/a,n/a,-26%,n/a
2020-03-29,US,United States,North Dakota,Mercer County,n/a,+10%,n/a,n/a,-27%,n/a
2020-03-29,US,United States,North Dakota,Morton County,-33%,+2%,n/a,-12%,-24%,+17%
2020-03-29,US,United States,North Dakota,Mountrail County,-35%,-14%,n/a,n/a,-27%,n/a
2020-03-29,US,United States,North Dakota,Pembina County,n/a,n/a,n/a,n/a,-22%,n/a
2020-03-29,US,United States,North Dakota,Ramsey County,-39%,-27%,n/a,n/a,-29%,n/a
2020-03-29,US,United States,North Dakota,Ransom County,n/a,n/a,n/a,n/a,-13%,n/a
2020-03-29,US,United States,North Dakota,Richland County,-42%,-4%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,North Dakota,Rolette County,-33%,n/a,n/a,n/a,-37%,n/a
2020-03-29,US,United States,North Dakota,Stark County,-29%,+18%,n/a,n/a,-10%,+14%
2020-03-29,US,United States,North Dakota,Stutsman County,-25%,-15%,n/a,n/a,-15%,n/a
2020-03-29,US,United States,North Dakota,Traill County,n/a,n/a,n/a,n/a,-31%,n/a
2020-03-29,US,United States,North Dakota,Walsh County,-26%,n/a,n/a,n/a,-22%,n/a
2020-03-29,US,United States,North Dakota,Ward County,-38%,-12%,n/a,-35%,-23%,+18%
2020-03-29,US,United States,North Dakota,Williams County,-30%,-6%,n/a,-25%,-21%,+14%
2020-03-29,FI,Finland,n/a,Central Finland,-48%,-22%,+60%,-70%,-23%,+8%
2020-03-29,FI,Finland,n/a,Central Ostrobothnia,-44%,-13%,n/a,-63%,-21%,+15%
2020-03-29,FI,Finland,n/a,Kainuu,-54%,-24%,+44%,-64%,-21%,+13%
2020-03-29,FI,Finland,n/a,Kymenlaakso,-52%,-21%,+65%,-64%,-17%,+8%
2020-03-29,FI,Finland,n/a,Lapland,-62%,-30%,+40%,-71%,-31%,+7%
2020-03-29,FI,Finland,n/a,North Karelia,-54%,-20%,+61%,-54%,-24%,+14%
2020-03-29,FI,Finland,n/a,Northern Ostrobothnia,-51%,-24%,+73%,-55%,-24%,+8%
2020-03-29,FI,Finland,n/a,Northern Savonia,-56%,-20%,+47%,-53%,-22%,+7%
2020-03-29,FI,Finland,n/a,Ostrobothnia,-44%,-16%,+70%,-50%,-21%,+8%
2020-03-29,FI,Finland,n/a,Pirkanmaa,-53%,-21%,+42%,-53%,-26%,+9%
2020-03-29,FI,Finland,n/a,Päijänne Tavastia,-56%,-22%,+84%,-54%,-25%,+8%
2020-03-29,FI,Finland,n/a,Satakunta,-49%,-22%,+34%,-48%,-19%,+8%
2020-03-29,FI,Finland,n/a,South Karelia,-55%,-26%,+46%,-64%,-25%,+15%
2020-03-29,FI,Finland,n/a,Southern Ostrobothnia,-49%,-20%,+50%,-51%,-20%,+9%
2020-03-29,FI,Finland,n/a,Southern Savonia,-55%,-18%,+59%,-66%,-23%,+14%
2020-03-29,FI,Finland,n/a,Southwest Finland,-54%,-22%,+15%,-51%,-25%,+9%
2020-03-29,FI,Finland,n/a,Tavastia Proper,-53%,-24%,+43%,-62%,-22%,+9%
2020-03-29,FI,Finland,n/a,Uusimaa,-50%,-20%,+39%,-64%,-28%,+10%
2020-03-29,US,United States,Louisiana,Acadia Parish,-24%,-5%,n/a,-36%,-21%,+15%
2020-03-29,US,United States,Louisiana,Allen Parish,-34%,-19%,n/a,n/a,-33%,n/a
2020-03-29,US,United States,Louisiana,Ascension Parish,-45%,-21%,n/a,n/a,-34%,+15%
2020-03-29,US,United States,Louisiana,Assumption Parish,n/a,-8%,n/a,n/a,-36%,n/a
2020-03-29,US,United States,Louisiana,Avoyelles Parish,-24%,-8%,n/a,n/a,-32%,-2%
2020-03-29,US,United States,Louisiana,Beauregard Parish,-29%,-10%,n/a,n/a,-31%,+3%
2020-03-29,US,United States,Louisiana,Bienville Parish,-41%,-15%,n/a,n/a,-32%,n/a
2020-03-29,US,United States,Louisiana,Bossier Parish,-49%,-19%,+4%,-30%,-37%,+12%
2020-03-29,US,United States,Louisiana,Caddo Parish,-36%,-9%,-14%,-31%,-32%,+10%
2020-03-29,US,United States,Louisiana,Calcasieu Parish,-40%,-19%,-6%,-38%,-34%,+11%
2020-03-29,US,United States,Louisiana,Caldwell Parish,-25%,n/a,n/a,n/a,-29%,n/a
2020-03-29,US,United States,Louisiana,Cameron Parish,n/a,+10%,n/a,n/a,-17%,n/a
2020-03-29,US,United States,Louisiana,Catahoula Parish,-64%,-20%,n/a,n/a,-38%,n/a
2020-03-29,US,United States,Louisiana,Claiborne Parish,-49%,-18%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,Louisiana,Concordia Parish,-23%,-16%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Louisiana,De Soto Parish,-13%,-16%,n/a,-35%,-24%,n/a
2020-03-29,US,United States,Louisiana,East Baton Rouge Parish,-48%,-16%,-26%,-44%,-34%,+12%
2020-03-29,US,United States,Louisiana,East Feliciana Parish,-23%,-9%,n/a,n/a,-35%,n/a
2020-03-29,US,United States,Louisiana,Evangeline Parish,-16%,-4%,n/a,n/a,-25%,n/a
2020-03-29,US,United States,Louisiana,Franklin Parish,-28%,-8%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Louisiana,Grant Parish,n/a,-13%,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Louisiana,Iberia Parish,-26%,-11%,-30%,n/a,-23%,+16%
2020-03-29,US,United States,Louisiana,Iberville Parish,-29%,-4%,n/a,-43%,-30%,n/a
2020-03-29,US,United States,Louisiana,Jackson Parish,-19%,-8%,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Louisiana,Jefferson Davis Parish,-40%,-12%,n/a,-47%,-33%,-1%
2020-03-29,US,United States,Louisiana,Jefferson Parish,-49%,-20%,-1%,-84%,-44%,+14%
2020-03-29,US,United States,Louisiana,La Salle Parish,-27%,-9%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,Louisiana,Lafayette Parish,-44%,-22%,+15%,-42%,-31%,+11%
2020-03-29,US,United States,Louisiana,Lafourche Parish,-23%,-13%,n/a,-36%,-25%,+12%
2020-03-29,US,United States,Louisiana,Lincoln Parish,-53%,-26%,n/a,n/a,-38%,+9%
2020-03-29,US,United States,Louisiana,Livingston Parish,-40%,-12%,-13%,-16%,-32%,+10%
2020-03-29,US,United States,Louisiana,Madison Parish,-17%,-8%,n/a,-37%,-20%,n/a
2020-03-29,US,United States,Louisiana,Morehouse Parish,-24%,-8%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Louisiana,Natchitoches Parish,-33%,-24%,n/a,n/a,-30%,+6%
2020-03-29,US,United States,Louisiana,Orleans Parish,-71%,-35%,-55%,-59%,-54%,+16%
2020-03-29,US,United States,Louisiana,Ouachita Parish,-41%,-15%,-24%,-27%,-29%,+9%
2020-03-29,US,United States,Louisiana,Plaquemines Parish,-39%,-21%,-31%,n/a,-25%,n/a
2020-03-29,US,United States,Louisiana,Pointe Coupee Parish,-15%,-12%,n/a,n/a,-16%,n/a
2020-03-29,US,United States,Louisiana,Rapides Parish,-40%,-15%,-2%,-55%,-30%,+10%
2020-03-29,US,United States,Louisiana,Red River Parish,-42%,n/a,n/a,n/a,-26%,n/a
2020-03-29,US,United States,Louisiana,Richland Parish,-24%,-10%,n/a,-25%,-16%,n/a
2020-03-29,US,United States,Louisiana,Sabine Parish,-16%,-6%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Louisiana,St. Bernard Parish,-31%,+1%,-21%,n/a,-35%,+23%
2020-03-29,US,United States,Louisiana,St. Charles Parish,-39%,-13%,n/a,-18%,-35%,+22%
2020-03-29,US,United States,Louisiana,St. Helena Parish,n/a,-20%,n/a,n/a,-35%,n/a
2020-03-29,US,United States,Louisiana,St. James Parish,-46%,-11%,n/a,n/a,-17%,n/a
2020-03-29,US,United States,Louisiana,St. John the Baptist Parish,-34%,-3%,-67%,-51%,-37%,+22%
2020-03-29,US,United States,Louisiana,St. Landry Parish,-28%,-16%,n/a,-40%,-28%,+14%
2020-03-29,US,United States,Louisiana,St. Martin Parish,-34%,-14%,-10%,-45%,-29%,+19%
2020-03-29,US,United States,Louisiana,St. Mary Parish,-31%,-11%,n/a,-43%,-33%,+15%
2020-03-29,US,United States,Louisiana,St. Tammany Parish,-45%,-19%,+3%,-21%,-35%,+11%
2020-03-29,US,United States,Louisiana,Tangipahoa Parish,-35%,-6%,-20%,-17%,-32%,+10%
2020-03-29,US,United States,Louisiana,Terrebonne Parish,-43%,-12%,+25%,-42%,-32%,+9%
2020-03-29,US,United States,Louisiana,Union Parish,-22%,+6%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,Louisiana,Vermilion Parish,-21%,-3%,n/a,n/a,-29%,+16%
2020-03-29,US,United States,Louisiana,Vernon Parish,-32%,-21%,n/a,n/a,-34%,+19%
2020-03-29,US,United States,Louisiana,Washington Parish,-21%,-1%,n/a,n/a,-20%,+2%
2020-03-29,US,United States,Louisiana,Webster Parish,-27%,-19%,n/a,-19%,-31%,+13%
2020-03-29,US,United States,Louisiana,West Baton Rouge Parish,-42%,+1%,n/a,-37%,-36%,n/a
2020-03-29,US,United States,Louisiana,West Carroll Parish,-23%,-29%,n/a,n/a,-22%,n/a
2020-03-29,US,United States,Louisiana,West Feliciana Parish,-54%,-19%,n/a,n/a,-45%,n/a
2020-03-29,US,United States,Louisiana,Winn Parish,-25%,+0%,n/a,n/a,-23%,n/a
2020-03-29,NZ,New Zealand,n/a,Auckland,-89%,-55%,-70%,-83%,-64%,+25%
2020-03-29,NZ,New Zealand,n/a,Bay Of Plenty,-92%,-51%,-86%,-83%,-52%,+22%
2020-03-29,NZ,New Zealand,n/a,Canterbury,-90%,-56%,-83%,-90%,-60%,+22%
2020-03-29,NZ,New Zealand,n/a,Gisborne,-100%,-48%,-88%,n/a,-47%,n/a
2020-03-29,NZ,New Zealand,n/a,Hawke's Bay,-94%,-53%,-78%,-84%,-51%,+31%
2020-03-29,NZ,New Zealand,n/a,Manawatu-Wanganui,-93%,-50%,-76%,-84%,-54%,+33%
2020-03-29,NZ,New Zealand,n/a,Marlborough,-92%,-60%,-83%,-91%,-25%,+0%
2020-03-29,NZ,New Zealand,n/a,Nelson,-100%,-60%,-81%,n/a,-61%,+4%
2020-03-29,NZ,New Zealand,n/a,Northland,-93%,-55%,-86%,-86%,-52%,+32%
2020-03-29,NZ,New Zealand,n/a,Otago,-95%,-62%,-82%,-91%,-64%,+39%
2020-03-29,NZ,New Zealand,n/a,Southland,-96%,-53%,-83%,n/a,-48%,+17%
2020-03-29,NZ,New Zealand,n/a,Taranaki,-95%,-52%,-86%,n/a,-51%,+17%
2020-03-29,NZ,New Zealand,n/a,Tasman,-90%,-67%,-89%,n/a,-54%,n/a
2020-03-29,NZ,New Zealand,n/a,Waikato,-94%,-55%,-84%,-82%,-57%,+23%
2020-03-29,NZ,New Zealand,n/a,Wellington,-93%,-54%,-63%,-84%,-62%,+20%
2020-03-29,NZ,New Zealand,n/a,West Coast,-100%,-61%,-87%,n/a,-54%,n/a
2020-03-29,US,United States,Missouri,Adair County,-40%,+55%,n/a,n/a,-20%,-1%
2020-03-29,US,United States,Missouri,Andrew County,-63%,+5%,n/a,n/a,-32%,n/a
2020-03-29,US,United States,Missouri,Audrain County,-29%,-9%,n/a,n/a,-20%,+6%
2020-03-29,US,United States,Missouri,Barry County,-18%,+19%,n/a,n/a,-26%,+9%
2020-03-29,US,United States,Missouri,Barton County,-18%,n/a,n/a,n/a,-25%,n/a
2020-03-29,US,United States,Missouri,Bates County,-20%,+15%,n/a,n/a,-18%,n/a
2020-03-29,US,United States,Missouri,Benton County,-32%,+128%,n/a,n/a,-24%,n/a
2020-03-29,US,United States,Missouri,Bollinger County,-50%,-18%,n/a,n/a,-35%,n/a
2020-03-29,US,United States,Missouri,Boone County,-55%,-18%,+65%,-58%,-36%,+10%
2020-03-29,US,United States,Missouri,Buchanan County,-29%,+2%,n/a,-5%,-22%,+7%
2020-03-29,US,United States,Missouri,Butler County,-23%,-5%,n/a,n/a,-20%,+10%
2020-03-29,US,United States,Missouri,Caldwell County,n/a,n/a,n/a,n/a,-20%,n/a
2020-03-29,US,United States,Missouri,Callaway County,-36%,-1%,n/a,n/a,-20%,+18%
2020-03-29,US,United States,Missouri,Camden County,-28%,+16%,n/a,n/a,-36%,+13%
2020-03-29,US,United States,Missouri,Cape Girardeau County,-43%,-20%,+0%,n/a,-33%,+12%
2020-03-29,US,United States,Missouri,Carroll County,-28%,n/a,n/a,n/a,-19%,n/a
2020-03-29,US,United States,Missouri,Cass County,-26%,-17%,+29%,-14%,-33%,+9%
2020-03-29,US,United States,Missouri,Cedar County,-15%,-5%,n/a,n/a,-28%,n/a
2020-03-29,US,United States,Missouri,Chariton County,n/a,n/a,n/a,n/a,-30%,n/a
2020-03-29,US,United States,Missouri,Christian County,-30%,-10%,-19%,n/a,-33%,+13%
2020-03-29,US,United States,Missouri,Clark County,n/a,-10%,n/a,-46%,-4%,n/a
2020-03-29,US,United States,Missouri,Clay County,-32%,-17%,+214%,-30%,-38%,+10%
2020-03-29,US,United States,Missouri,Clinton County,-76%,-8%,n/a,n/a,-31%,n/a
2020-03-29,US,United States,Missouri,Cole County,-44%,-23%,n/a,n/a,-29%,+19%
2020-03-29,US,United States,Missouri,Cooper County,-27%,-19%,n/a,-15%,-20%,n/a
2020-03-29,US,United States,Missouri,Crawford County,-20%,-7%,n/a,-7%,-17%,n/a
2020-03-29,US,United States,Missouri,Dade County,n/a,n/a,n/a,n/a,-13%,n/a
2020-03-29,US,United States,Missouri,Dallas County,-11%,+8%,n/a,n/a,-16%,n/a
2020-03-29,US,United States,Missouri,Daviess County,n/a,n/a,n/a,n/a,-13%,n/a
2020-03-29,US,United States,Missouri,DeKalb County,-7%,+3%,n/a,n/a,-18%,n/a
2020-03-29,US,United States,Missouri,Dent County,+0%,n/a,n/a,n/a,-5%,n/a
2020-03-29,US,United States,Missouri,Douglas County,-5%,-14%,n/a,n/a,-21%,n/a
2020-03-29,US,United States,Missouri,Dunklin County,-15%,+10%,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Missouri,Franklin County,-33%,+2%,+61%,-12%,-25%,+8%
2020-03-29,US,United States,Missouri,Gasconade County,-22%,n/a,n/a,n/a,-25%,n/a
2020-03-29,US,United States,Missouri,Gentry County,n/a,n/a,n/a,n/a,-34%,n/a
2020-03-29,US,United States,Missouri,Greene County,-45%,-30%,+43%,-34%,-36%,+10%
2020-03-29,US,United States,Missouri,Grundy County,-16%,-7%,n/a,n/a,-10%,n/a
2020-03-29,US,United States,Missouri,Harrison County,-25%,-20%,n/a,-15%,-20%,n/a
2020-03-29,US,United States,Missouri,Henry County,-9%,+2%,n/a,n/a,-20%,-1%
2020-03-29,US,United States,Missouri,Hickory County,n/a,n/a,n/a,n/a,-2%,n/a
2020-03-29,US,United States,Missouri,Howard County,n/a,n/a,n/a,n/a,-23%,n/a
2020-03-29,US,United States,Missouri,Howell County,-36%,-16%,n/a,-24%,-28%,+12%
2020-03-29,US,United States,Missouri,Iron County,-18%,+4%,+104%,n/a,-9%,n/a
2020-03-29,US,United States,Missouri,Jackson County,-43%,-14%,+28%,-13%,-36%,+10%
2020-03-29,US,United States,Missouri,Jasper County,-26%,-10%,+42%,-11%,-22%,+7%
2020-03-29,US,United States,Missouri,Jefferson County,-36%,-16%,+94%,+6%,-33%,+9%
2020-03-29,US,United States,Missouri,Johnson County,-28%,-5%,n/a,n/a,-20%,+16%
2020-03-29,US,United States,Missouri,Laclede County,-21%,-2%,n/a,n/a,-22%,+13%
2020-03-29,US,United States,Missouri,Lafayette County,-24%,-8%,n/a,-19%,-24%,+13%
2020-03-29,US,United States,Missouri,Lawrence County,-5%,-2%,n/a,-17%,-25%,+11%
2020-03-29,US,United States,Missouri,Lewis County,-14%,n/a,n/a,n/a,-13%,n/a
2020-03-29,US,United States,Missouri,Lincoln County,-40%,-14%,n/a,n/a,-32%,+18%
2020-03-29,US,United States,Missouri,Linn County,-19%,-7%,n/a,n/a,-7%,n/a
2020-03-29,US,United States,Missouri,Livingston County,-15%,-6%,n/a,n/a,-25%,n/a
